подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";о + loct;"количество примеров для колонки ""о + loct""";на + loct;"количество примеров для колонки ""на + loct""";в + nomn;"количество примеров для колонки ""в + nomn""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";с + ablt;"количество примеров для колонки ""с + ablt""";о + gent;"количество примеров для колонки ""о + gent""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";в + accs;"количество примеров для колонки ""в + accs""";от + gent;"количество примеров для колонки ""от + gent""";в + loct;"количество примеров для колонки ""в + loct""";к + datv;"количество примеров для колонки ""к + datv""";на + nomn;"количество примеров для колонки ""на + nomn""";из + nomn;"количество примеров для колонки ""из + nomn""";около + nomn;"количество примеров для колонки ""около + nomn""";около + gent;"количество примеров для колонки ""около + gent""";через + nomn;"количество примеров для колонки ""через + nomn""";к + nomn;"количество примеров для колонки ""к + nomn""";при + loct;"количество примеров для колонки ""при + loct""";для + gent;"количество примеров для колонки ""для + gent""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";для + datv;"количество примеров для колонки ""для + datv""";в + gent;"количество примеров для колонки ""в + gent""";из + gent;"количество примеров для колонки ""из + gent""";через + gent;"количество примеров для колонки ""через + gent""";к + loct;"количество примеров для колонки ""к + loct""";в + datv;"количество примеров для колонки ""в + datv""";у + gent;"количество примеров для колонки ""у + gent""";между + ablt;"количество примеров для колонки ""между + ablt""";по + gent;"количество примеров для колонки ""по + gent""";к + gent;"количество примеров для колонки ""к + gent""";о + ablt;"количество примеров для колонки ""о + ablt""";по + datv;"количество примеров для колонки ""по + datv""";между + nomn;"количество примеров для колонки ""между + nomn""";с + nomn;"количество примеров для колонки ""с + nomn""";при + accs;"количество примеров для колонки ""при + accs""";при + nomn;"количество примеров для колонки ""при + nomn""";непрямое дополнение, gent;"количество примеров для колонки ""непрямое дополнение, gent""";с + gent;"количество примеров для колонки ""с + gent""";на + gent;"количество примеров для колонки ""на + gent""";при + datv;"количество примеров для колонки ""при + datv""";для + accs;"количество примеров для колонки ""для + accs""";согласно + datv;"количество примеров для колонки ""согласно + datv""";до + gent;"количество примеров для колонки ""до + gent""";через + voct;"количество примеров для колонки ""через + voct""";вне + gent;"количество примеров для колонки ""вне + gent""";из + datv;"количество примеров для колонки ""из + datv"""
ромб;6;угол;3;угол;1;поверхность;1;окружность;1;центр;3;центр;1;возможность;1;окружность;18;отличие;1;треугольник;1;точка;1;рисунок;1;радиус;1;упражнение;1;окружность;1;треугольник;1;заключённый;1;периметр;1;основание;1;треугольник;1;площадь;3;окружность;1;основание;1;четырёхугольник;1;вершина;1;площадь;1;окружность;1;многогранник;1;хорда;1;сторона;1;плоскость;1;радиус;1;теорема;1;радиус;1;окружность;1;сфера;1;сфера;1;сторона;1;пятиугольник;1;дуга;1;угол;1;пирамида;1;теорема;1;центр;1;ось;1;круг;1;половина;1
треугольник;11;звезда;1;;;;;;;теорема;2;;;;;половина;3;;;;;;;;;;;;;;;;;;;;;;;;;центр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
окружность;45;сторона;4;;;;;;;высота;4;;;;;диаметр;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
четырёхугольник;2;цилиндр;8;;;;;;;радиус;5;;;;;пол;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сумма;2;высота;1;;;;;;;гипотенуза;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
год;24;пирамида;2;;;;;;;длина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
многоугольник;10;призма;7;;;;;;;угол;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
радиус;20;сфера;15;;;;;;;основание;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
хорда;1;шар;1;;;;;;;образ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
десятиугольник;1;теорема;1;;;;;;;плоскость;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
