подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";между + ablt;"количество примеров для колонки ""между + ablt""";из + gent;"количество примеров для колонки ""из + gent""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";в + loct;"количество примеров для колонки ""в + loct""";при + loct;"количество примеров для колонки ""при + loct""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";от + gent;"количество примеров для колонки ""от + gent""";до + gent;"количество примеров для колонки ""до + gent""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";в + accs;"количество примеров для колонки ""в + accs""";в + gent;"количество примеров для колонки ""в + gent""";по + datv;"количество примеров для колонки ""по + datv""";под + ablt;"количество примеров для колонки ""под + ablt""";на + gent;"количество примеров для колонки ""на + gent""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";при + nomn;"количество примеров для колонки ""при + nomn""";через + accs;"количество примеров для колонки ""через + accs""";для + gent;"количество примеров для колонки ""для + gent""";на + loct;"количество примеров для колонки ""на + loct""";по + accs;"количество примеров для колонки ""по + accs""";в + datv;"количество примеров для колонки ""в + datv""";из + nomn;"количество примеров для колонки ""из + nomn""";с + nomn;"количество примеров для колонки ""с + nomn""";с + ablt;"количество примеров для колонки ""с + ablt""";после + accs;"количество примеров для колонки ""после + accs""";по + nomn;"количество примеров для колонки ""по + nomn""";между + gent;"количество примеров для колонки ""между + gent"""
отрезок;24;прямая;1;случай;1;мера;2;точка;1;вершина;1;биссектриса;1;вершина;1;плоскость;1;окружность;8;длина;1;треугольник;1;синус;1;площадь;1;плоскость;1;сторона;1;плата;1;формула;1;нахождение;1;поверхность;1;длина;1;пирамида;1;плата;1;площадь;1;высота;1;произведение;1;площадь;1;прямая;1
сантиметр;1;;;;;ордината;1;;;;;середина;1;;;;;косинус;1;;;;;;;;;;;поверхность;11;;;;;;;;;;;;;;;;;;;;;;;;
мера;1;;;;;высота;4;;;;;плоскость;4;;;;;;;;;;;;;;;;;случай;1;;;;;;;;;;;;;;;;;;;;;;;;
расстояние;5;;;;;сторона;1;;;;;;;;;;;;;;;;;;;;;;;грань;2;;;;;;;;;;;;;;;;;;;;;;;;
площадь;2;;;;;длина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
разность;1;;;;;возможность;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
литр;1;;;;;угол;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
радиус;2;;;;;величина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
формулырадиус;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
год;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
косинус;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
синус;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
