непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";из + ablt;"количество примеров для колонки ""из + ablt""";из + gent;"количество примеров для колонки ""из + gent""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";в + gent;"количество примеров для колонки ""в + gent""";при + loct;"количество примеров для колонки ""при + loct""";на + nomn;"количество примеров для колонки ""на + nomn""";по + datv;"количество примеров для колонки ""по + datv""";на + ablt;"количество примеров для колонки ""на + ablt""";с + ablt;"количество примеров для колонки ""с + ablt""";в + ablt;"количество примеров для колонки ""в + ablt""";в + loct;"количество примеров для колонки ""в + loct""";для + gent;"количество примеров для колонки ""для + gent""";на + gent;"количество примеров для колонки ""на + gent""";между + ablt;"количество примеров для колонки ""между + ablt""";относительно + gent;"количество примеров для колонки ""относительно + gent""";между + gent;"количество примеров для колонки ""между + gent""";к + datv;"количество примеров для колонки ""к + datv""";кроме + nomn;"количество примеров для колонки ""кроме + nomn""";в + nomn;"количество примеров для колонки ""в + nomn""";в + datv;"количество примеров для колонки ""в + datv""";на + loct;"количество примеров для колонки ""на + loct""";к + loc2;"количество примеров для колонки ""к + loc2""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";в + accs;"количество примеров для колонки ""в + accs""";к + gent;"количество примеров для колонки ""к + gent""";от + gent;"количество примеров для колонки ""от + gent"""
окружность;5;длина;1;отрезок;3;постулат;1;свойство;1;основание;8;планиметрия;1;рассмотрение;1;построение;1;параллакс;1;наложение;1;вершина;1;плоскость;1;разложение;1;сложение;1;плоскость;1;точка;1;прямая;1;прямая;1;окружность;1;многогранник;1;пространство;1;алгебра;1;рисунок;1;угол;1;поверхность;1;прямая;1;плоскость;1;вершина;1
образ;1;фундамент;1;перпендикуляр;1;;;;;тождество;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;грань;3;;;;;;
полька;1;угол;4;метод;1;;;;;теорема;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;сторона;1;;;;;;
восприятие;1;пирамида;1;правило;1;;;;;тетраэдр;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
прямая;1;фигура;3;неколлинеар;1;;;;;поверхность;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;величина;2;свойство;5;;;;;расстояние;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;парабола;1;число;4;;;;;вектор;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;точка;1;часть;3;;;;;цилиндр;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;прямая;1;проектирование;1;;;;;конус;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;историк;1;;;;;признак;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;конус;2;;;;;плоскость;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;фигура;1;;;;;высота;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;предложение;1;;;;;пояс;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;утверждение;2;;;;;система;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;отображение;1;;;;;ортодромия;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;радиус;1;;;;;аксиома;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;расстояние;1;;;;;геометрия;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;сантиметр;2;;;;;координата;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;изображение;1;;;;;место;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;коэффициент;1;;;;;коммутативность;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;многогранник;1;;;;;ассоциативность;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;группа;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;тело;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
