подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";с + ablt;"количество примеров для колонки ""с + ablt""";о + ablt;"количество примеров для колонки ""о + ablt""";в + loct;"количество примеров для колонки ""в + loct""";между + ablt;"количество примеров для колонки ""между + ablt""";из + gent;"количество примеров для колонки ""из + gent""";с + gent;"количество примеров для колонки ""с + gent""";к + gent;"количество примеров для колонки ""к + gent""";при + nomn;"количество примеров для колонки ""при + nomn""";в + ablt;"количество примеров для колонки ""в + ablt""";при + loct;"количество примеров для колонки ""при + loct""";к + nomn;"количество примеров для колонки ""к + nomn""";на + gent;"количество примеров для колонки ""на + gent""";по + datv;"количество примеров для колонки ""по + datv""";к + datv;"количество примеров для колонки ""к + datv""";от + gent;"количество примеров для колонки ""от + gent""";до + gent;"количество примеров для колонки ""до + gent""";с + nomn;"количество примеров для колонки ""с + nomn""";относительно + gent;"количество примеров для колонки ""относительно + gent""";на + nomn;"количество примеров для колонки ""на + nomn""";у + ablt;"количество примеров для колонки ""у + ablt""";у + gent;"количество примеров для колонки ""у + gent""";до + ablt;"количество примеров для колонки ""до + ablt""";около + gent;"количество примеров для колонки ""около + gent""";между + gent;"количество примеров для колонки ""между + gent""";при + ablt;"количество примеров для колонки ""при + ablt""";в + datv;"количество примеров для колонки ""в + datv""";на + loct;"количество примеров для колонки ""на + loct""";до + nomn;"количество примеров для колонки ""до + nomn""";через + nomn;"количество примеров для колонки ""через + nomn""";в + loc2;"количество примеров для колонки ""в + loc2""";из + ablt;"количество примеров для колонки ""из + ablt""";без + gent;"количество примеров для колонки ""без + gent""";в + gent;"количество примеров для колонки ""в + gent""";к + ablt;"количество примеров для колонки ""к + ablt""";по + loct;"количество примеров для колонки ""по + loct""";по + gent;"количество примеров для колонки ""по + gent""";в + nomn;"количество примеров для колонки ""в + nomn""";для + gent;"количество примеров для колонки ""для + gent""";из + nomn;"количество примеров для колонки ""из + nomn""";у + nomn;"количество примеров для колонки ""у + nomn""";на + ablt;"количество примеров для колонки ""на + ablt""";к + loct;"количество примеров для колонки ""к + loct""";для + nomn;"количество примеров для колонки ""для + nomn""";о + loct;"количество примеров для колонки ""о + loct""";о + nomn;"количество примеров для колонки ""о + nomn"""
фигура;37;модуль;1;коэффициент;1;пространство;1;прямая;1;полупространство;1;секущая;1;плоскость;1;сфера;1;основание;1;проектирование;1;вектор;1;плоскость;1;данные;1;окружность;1;точка;1;прямая;1;плата;1;плоскость;1;расстояние;1;соответствие;1;точка;1;радиус;1;основание;1;прямая;1;прообраз;1;логика;1;сфера;1;мера;1;центр;1;связь;1;вектор;1;доказательство;1;часть;1;проекция;1;поверхность;1;локсодромия;1;многогранник;1;фигура;1;рацио;1;закон;1;наложение;1;сфера;1;год;1;перпендикуляр;1;отображение;1
отрезок;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
точка;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сумма;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
длина;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
хорда;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
центр;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
луч;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
кривая;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
перпендикуляр;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
