подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";в + loct;"количество примеров для колонки ""в + loct""";в + gent;"количество примеров для колонки ""в + gent""";для + gent;"количество примеров для колонки ""для + gent""";между + ablt;"количество примеров для колонки ""между + ablt""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";на + nomn;"количество примеров для колонки ""на + nomn""";по + datv;"количество примеров для колонки ""по + datv""";с + ablt;"количество примеров для колонки ""с + ablt""";по + loct;"количество примеров для колонки ""по + loct""";из + gent;"количество примеров для колонки ""из + gent""";по + accs;"количество примеров для колонки ""по + accs""";в + accs;"количество примеров для колонки ""в + accs""";о + loct;"количество примеров для колонки ""о + loct""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";после + accs;"количество примеров для колонки ""после + accs""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";о + nomn;"количество примеров для колонки ""о + nomn""";при + loct;"количество примеров для колонки ""при + loct"""
чертёж;1;форма;1;россия;1;определение;1;точка;1;длина;3;треугольник;1;формула;1;число;1;таблица;1;тождество;1;угол;1;настоящее;1;перспектива;1;окружность;1;длина;1;умножение;1;центр;1;умножение;1
применение;2;;;;;;;;;высота;3;;;;;;;;;;;;;;;;;;;;;;;;;;
отрезка;4;;;;;;;;;прямая;1;;;;;;;;;;;;;;;;;;;;;;;;;;
площадь;2;;;;;;;;;точка;1;;;;;;;;;;;;;;;;;;;;;;;;;;
литр;1;;;;;;;;;угол;3;;;;;;;;;;;;;;;;;;;;;;;;;;
вс;1;;;;;;;;;значение;1;;;;;;;;;;;;;;;;;;;;;;;;;;
косинус;2;;;;;;;;;время;1;;;;;;;;;;;;;;;;;;;;;;;;;;
р;3;;;;;;;;;сумма;1;;;;;;;;;;;;;;;;;;;;;;;;;;
гипотенуза;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
расстояние;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
геометрия;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
отрез;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ас;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
том;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
зайцев;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
год;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
радиус;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
