на + loct;"количество примеров для колонки ""на + loct""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";с + gent;"количество примеров для колонки ""с + gent""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";о + ablt;"количество примеров для колонки ""о + ablt""";из + gent;"количество примеров для колонки ""из + gent""";с + ablt;"количество примеров для колонки ""с + ablt""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";о + accs;"количество примеров для колонки ""о + accs""";к + gent;"количество примеров для колонки ""к + gent""";к + datv;"количество примеров для колонки ""к + datv""";о + nomn;"количество примеров для колонки ""о + nomn""";на + ablt;"количество примеров для колонки ""на + ablt""";через + accs;"количество примеров для колонки ""через + accs""";между + ablt;"количество примеров для колонки ""между + ablt""";для + ablt;"количество примеров для колонки ""для + ablt""";через + nomn;"количество примеров для колонки ""через + nomn""";в + loct;"количество примеров для колонки ""в + loct""";с + accs;"количество примеров для колонки ""с + accs""";на + gent;"количество примеров для колонки ""на + gent""";на + nomn;"количество примеров для колонки ""на + nomn""";в + accs;"количество примеров для колонки ""в + accs""";от + gent;"количество примеров для колонки ""от + gent""";через + datv;"количество примеров для колонки ""через + datv""";в + nomn;"количество примеров для колонки ""в + nomn""";в + gent;"количество примеров для колонки ""в + gent""";по + gent;"количество примеров для колонки ""по + gent""";для + gent;"количество примеров для колонки ""для + gent""";между + gent;"количество примеров для колонки ""между + gent""";через + gent;"количество примеров для колонки ""через + gent""";при + loct;"количество примеров для колонки ""при + loct""";у + nomn;"количество примеров для колонки ""у + nomn""";при + gent;"количество примеров для колонки ""при + gent""";до + gent;"количество примеров для колонки ""до + gent""";о + gent;"количество примеров для колонки ""о + gent""";на + accs;"количество примеров для колонки ""на + accs""";для + accs;"количество примеров для колонки ""для + accs"""
рисунок;1;буква;17;прямая;1;окружность;5;точка;12;радиус;1;точка;1;плоскость;1;площадь;2;точка;1;прямая;1;сторона;1;центр;1;буква;1;точка;1;прямая;1;буква;1;площадь;1;порядок;1;линия;1;прямая;1;плоскость;1;точка;1;точка;1;нея;1;шар;1;плоскость;1;сторона;1;точка;1;прямая;1;метр;1;ребро;1;расстояние;1;симметрия;1;плоскость;1;пространство;1;прямая;1;сторона;1
;;цифра;1;;;признак;1;линия;3;;;;;;;сторона;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;полуось;1;;;;;длина;2;;;;;;;грань;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;способ;2;;;;;середина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;указание;1;;;;;угол;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ребро;1;;;;;прямая;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;координата;1;;;;;образующая;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;плоскость;1;;;;;конец;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;перпендикуляр;1;;;;;система;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;абсцисса;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;величина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
