непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";при + loct;"количество примеров для колонки ""при + loct""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";с + accs;"количество примеров для колонки ""с + accs""";в + loct;"количество примеров для колонки ""в + loct""";с + ablt;"количество примеров для колонки ""с + ablt""";внутри + gent;"количество примеров для колонки ""внутри + gent""";по + accs;"количество примеров для колонки ""по + accs""";с + gent;"количество примеров для колонки ""с + gent""";из + gent;"количество примеров для колонки ""из + gent""";с + nomn;"количество примеров для колонки ""с + nomn""";к + gent;"количество примеров для колонки ""к + gent""";между + ablt;"количество примеров для колонки ""между + ablt""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";из + accs;"количество примеров для колонки ""из + accs""";около + gent;"количество примеров для колонки ""около + gent""";на + nomn;"количество примеров для колонки ""на + nomn""";в + accs;"количество примеров для колонки ""в + accs""";на + gent;"количество примеров для колонки ""на + gent""";между + accs;"количество примеров для колонки ""между + accs""";к + datv;"количество примеров для колонки ""к + datv""";к + nomn;"количество примеров для колонки ""к + nomn""";между + nomn;"количество примеров для колонки ""между + nomn""";с + datv;"количество примеров для колонки ""с + datv""";относительно + gent;"количество примеров для колонки ""относительно + gent""";через + voct;"количество примеров для колонки ""через + voct""";в + gent;"количество примеров для колонки ""в + gent""";через + accs;"количество примеров для колонки ""через + accs""";у + accs;"количество примеров для колонки ""у + accs""";в + ablt;"количество примеров для колонки ""в + ablt"""
знание;1;человек;1;фигура;3;пересечение;1;прямая;3;угол;1;вершина;1;плоскость;1;квадрат;1;сторона;1;прямая;1;фигура;1;столбец;1;плоскость;1;диагональ;1;область;1;угол;1;сторона;1;плоскость;1;угол;1;плоскость;1;угол;1;окружность;1;прямая;1;образующая;1;данные;1;операция;1;ось;1;плоскость;1;точка;1;угол;1;проекция;1
прямоугольник;1;окружность;1;угол;94;;;;;;;;;;;;;;;;;;;;;;;;;грань;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
многоугольник;1;;;прогрессия;3;;;хорда;2;;;;;;;;;;;;;;;;;;;;;площадь;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
квадрат;2;;;высота;1;;;радиус;2;;;;;;;;;;;;;;;;;;;;;поверхность;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
хорда;1;;;граница;1;;;диагональ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
луч;1;;;множество;4;;;сантиметр;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
величина;1;;;величина;1;;;расстояние;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
вращение;2;;;группа;7;;;основа;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
плоскость;1;;;строка;1;;;сторона;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;площадь;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;поверхность;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;литр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;ребро;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;многоугольник;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;вектор;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;окружность;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;каркас;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;элемент;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;плоскость;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;друг;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;правый;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;базис;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;точка;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;треугольник;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
