с + ablt;"количество примеров для колонки ""с + ablt""";в + ablt;"количество примеров для колонки ""в + ablt""";из + gent;"количество примеров для колонки ""из + gent""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";при + loct;"количество примеров для колонки ""при + loct""";около + gent;"количество примеров для колонки ""около + gent""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";при + accs;"количество примеров для колонки ""при + accs""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";в + nomn;"количество примеров для колонки ""в + nomn""";согласно + nomn;"количество примеров для колонки ""согласно + nomn""";в + loct;"количество примеров для колонки ""в + loct""";по + datv;"количество примеров для колонки ""по + datv""";на + gent;"количество примеров для колонки ""на + gent""";в + accs;"количество примеров для колонки ""в + accs""";вследствие + gent;"количество примеров для колонки ""вследствие + gent""";на + loct;"количество примеров для колонки ""на + loct""";при + nomn;"количество примеров для колонки ""при + nomn"""
точность;1;радиус;1;точка;1;окружность;2;окружность;4;вращение;1;сторона;1;цилиндр;1;угол;1;высота;1;окружность;1;эллипс;1;направление;1;стрелка;1;плоскость;1;течение;1;вращение;1;земля;1;построение;1
;;;;;;шар;2;;;;;;;сегмент;2;;;;;;;;;;;;;;;;;;;;;;
;;;;;;прямоугольник;1;;;;;;;кривая;1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;треугольник;2;;;;;;;гипербола;1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;полукруг;1;;;;;;;тень;1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;литр;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;сектор;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;точка;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;круг;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;пункт;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;обоснование;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
