на + loct;"количество примеров для колонки ""на + loct""";на + gent;"количество примеров для колонки ""на + gent""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";в + nomn;"количество примеров для колонки ""в + nomn""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";от + gent;"количество примеров для колонки ""от + gent""";в + gent;"количество примеров для колонки ""в + gent""";с + ablt;"количество примеров для колонки ""с + ablt""";на + nomn;"количество примеров для колонки ""на + nomn""";в + loct;"количество примеров для колонки ""в + loct""";в + accs;"количество примеров для колонки ""в + accs""";через + nomn;"количество примеров для колонки ""через + nomn""";из + gent;"количество примеров для колонки ""из + gent""";от + ablt;"количество примеров для колонки ""от + ablt""";с + nomn;"количество примеров для колонки ""с + nomn""";по + datv;"количество примеров для колонки ""по + datv""";о + nomn;"количество примеров для колонки ""о + nomn""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";о + gent;"количество примеров для колонки ""о + gent""";от + datv;"количество примеров для колонки ""от + datv""";через + accs;"количество примеров для колонки ""через + accs""";к + datv;"количество примеров для колонки ""к + datv""";для + nomn;"количество примеров для колонки ""для + nomn""";к + gent;"количество примеров для колонки ""к + gent""";для + gent;"количество примеров для колонки ""для + gent""";за + accs;"количество примеров для колонки ""за + accs""";на + datv;"количество примеров для колонки ""на + datv""";на + ablt;"количество примеров для колонки ""на + ablt""";согласно + datv;"количество примеров для колонки ""согласно + datv""";с + gent;"количество примеров для колонки ""с + gent""";на + accs;"количество примеров для колонки ""на + accs""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";от + accs;"количество примеров для колонки ""от + accs""";за + ablt;"количество примеров для колонки ""за + ablt""";при + loct;"количество примеров для колонки ""при + loct"""
сторона;1;прямая;1;отрезок;11;полуплоскость;1;угол;24;начало;1;сторона;1;центр;1;вопрос;1;точка;1;сила;1;конец;1;полуось;1;люба;1;вектор;1;аксиома;1;вектор;1;окружность;1;отрезок;1;нея;1;конец;1;ось;1;вектор;1;плоскость;1;получение;1;точка;1;отрезка;1;люба;1;аксиома;1;сторона;1;середина;1;радиус;1;угол;1;друг;1;построение;1
;;;;перпендикуляр;1;;;точка;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;вектор;1;;;;;;
;;;;мера;1;;;отрезка;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;длина;1;;;;;;
;;;;прямая;1;;;середина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;сфера;1;;;;;;
;;;;плата;1;;;конец;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;сантиметр;4;;;прямая;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;утверждение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;вектор;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;параллелограмм;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;луч;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;конец;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
