у + gent;"количество примеров для колонки ""у + gent""";в + gent;"количество примеров для колонки ""в + gent""";относительно + gent;"количество примеров для колонки ""относительно + gent""";о + accs;"количество примеров для колонки ""о + accs""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";в + accs;"количество примеров для колонки ""в + accs""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";в + nomn;"количество примеров для колонки ""в + nomn""";у + accs;"количество примеров для колонки ""у + accs""";в + loct;"количество примеров для колонки ""в + loct""";на + nomn;"количество примеров для колонки ""на + nomn""";у + nomn;"количество примеров для колонки ""у + nomn""";с + gent;"количество примеров для колонки ""с + gent"""
фигура;1;имя;1;плоскость;1;фигура;1;фигура;4;прямая;1;вектор;8;тетраэдр;1;точка;1;направление;1;плоскость;1;луч;1;язык;1
;;;;;;;;точка;1;;;прямая;7;;;;;;;;;;;;
;;;;;;;;прямая;5;;;плоскость;4;;;;;;;;;;;;
;;;;;;;;сфера;1;;;том;2;;;;;;;;;;;;
;;;;;;;;;;;;проектирование;1;;;;;;;;;;;;
;;;;;;;;;;;;перенос;1;;;;;;;;;;;;
;;;;;;;;;;;;симметрия;1;;;;;;;;;;;;
;;;;;;;;;;;;гомотетия;2;;;;;;;;;;;;
;;;;;;;;;;;;правый;4;;;;;;;;;;;;
;;;;;;;;;;;;базис;6;;;;;;;;;;;;
