в + loct;"количество примеров для колонки ""в + loct""";через + gent;"количество примеров для колонки ""через + gent""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";в + gent;"количество примеров для колонки ""в + gent""";с + gent;"количество примеров для колонки ""с + gent""";внутри + gent;"количество примеров для колонки ""внутри + gent""";к + datv;"количество примеров для колонки ""к + datv""";с + ablt;"количество примеров для колонки ""с + ablt""";на + loct;"количество примеров для колонки ""на + loct""";вне + gent;"количество примеров для колонки ""вне + gent""";о + ablt;"количество примеров для колонки ""о + ablt""";под + ablt;"количество примеров для колонки ""под + ablt""";о + loct;"количество примеров для колонки ""о + loct""";для + gent;"количество примеров для колонки ""для + gent""";при + loct;"количество примеров для колонки ""при + loct""";по + nomn;"количество примеров для колонки ""по + nomn""";по + gent;"количество примеров для колонки ""по + gent""";под + datv;"количество примеров для колонки ""под + datv""";при + gent;"количество примеров для колонки ""при + gent""";под + nomn;"количество примеров для колонки ""под + nomn""";у + gent;"количество примеров для колонки ""у + gent""";между + ablt;"количество примеров для колонки ""между + ablt""";для + nomn;"количество примеров для колонки ""для + nomn""";в + ablt;"количество примеров для колонки ""в + ablt""";из + gent;"количество примеров для колонки ""из + gent""";по + datv;"количество примеров для колонки ""по + datv""";по + loct;"количество примеров для колонки ""по + loct""";на + gent;"количество примеров для колонки ""на + gent""";через + nomn;"количество примеров для колонки ""через + nomn""";среди + gent;"количество примеров для колонки ""среди + gent""";согласно + datv;"количество примеров для колонки ""согласно + datv""";с + nomn;"количество примеров для колонки ""с + nomn""";от + gent;"количество примеров для колонки ""от + gent""";относительно + gent;"количество примеров для колонки ""относительно + gent""";на + datv;"количество примеров для колонки ""на + datv""";к + gent;"количество примеров для колонки ""к + gent"""
точка;1;вершина;1;прямая;46;плоскость;1;прямая;1;треугольник;1;сторона;1;плоскость;1;ребро;1;треугольник;1;точка;1;угол;1;отрезок;1;доказательство;1;основание;1;плоскость;1;прямая;1;прямая;1;прямая;1;прямая;1;высота;1;прямая;1;четыр;1;точка;1;центр;1;окружность;1;граница;1;плоскость;1;прямая;1;пара;1;определение;1;плоскость;1;основание;1;плоскость;1;отрезок;1;плоскость;1
;;;;отрезок;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;век;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;точка;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;сантиметр;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;перпендикуляр;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;плата;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;плоскость;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;линия;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;окружность;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;подобие;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;расположение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;пересечение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;торричелли;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;диаметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;рисунок;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;литр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;поворот;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;полуплоскость;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;чевианы;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;конус;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;сфера;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;друг;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
