в + loct;"количество примеров для колонки ""в + loct""";по + datv;"количество примеров для колонки ""по + datv""";с + nomn;"количество примеров для колонки ""с + nomn""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";с + ablt;"количество примеров для колонки ""с + ablt""";в + datv;"количество примеров для колонки ""в + datv""";с + datv;"количество примеров для колонки ""с + datv""";о + datv;"количество примеров для колонки ""о + datv""";для + gent;"количество примеров для колонки ""для + gent""";относительно + gent;"количество примеров для колонки ""относительно + gent""";при + nomn;"количество примеров для колонки ""при + nomn""";из + gent;"количество примеров для колонки ""из + gent""";на + nomn;"количество примеров для колонки ""на + nomn""";из + nomn;"количество примеров для колонки ""из + nomn""";с + loct;"количество примеров для колонки ""с + loct""";согласно + datv;"количество примеров для колонки ""согласно + datv""";через + gent;"количество примеров для колонки ""через + gent""";у + datv;"количество примеров для колонки ""у + datv""";к + datv;"количество примеров для колонки ""к + datv""";через + nomn;"количество примеров для колонки ""через + nomn""";в + gent;"количество примеров для колонки ""в + gent""";о + loct;"количество примеров для колонки ""о + loct""";у + nomn;"количество примеров для колонки ""у + nomn""";к + loct;"количество примеров для колонки ""к + loct""";по + loct;"количество примеров для колонки ""по + loct""";из + datv;"количество примеров для колонки ""из + datv""";от + gent;"количество примеров для колонки ""от + gent""";до + gent;"количество примеров для колонки ""до + gent""";при + loct;"количество примеров для колонки ""при + loct"""
условие;1;причина;1;прямая;1;точка;14;граница;1;шар;1;окружность;1;фигура;1;точка;1;точка;1;точка;1;полупространство;1;плоскость;1;точка;1;поверхность;1;формула;1;точка;1;окружность;1;фигура;1;плоскость;1;плоскость;1;рефлекс;1;год;1;сфера;1;формулировка;1;треугольник;1;точка;1;имя;1;основание;1
;;;;;;отрезка;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;плоскость;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;прямая;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;плата;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;центр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;перпендикуляр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;теорема;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;сантиметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;биссекто;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;многогранник;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
