подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";к + gent;"количество примеров для колонки ""к + gent""";в + gent;"количество примеров для колонки ""в + gent""";к + accs;"количество примеров для колонки ""к + accs""";в + loct;"количество примеров для колонки ""в + loct""";о + loct;"количество примеров для колонки ""о + loct""";на + nomn;"количество примеров для колонки ""на + nomn""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";у + accs;"количество примеров для колонки ""у + accs""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";с + ablt;"количество примеров для колонки ""с + ablt""";через + accs;"количество примеров для колонки ""через + accs""";к + loct;"количество примеров для колонки ""к + loct""";из + gent;"количество примеров для колонки ""из + gent""";в + datv;"количество примеров для колонки ""в + datv""";с + datv;"количество примеров для колонки ""с + datv""";с + nomn;"количество примеров для колонки ""с + nomn""";непрямое дополнение, loc2;"количество примеров для колонки ""непрямое дополнение, loc2""";для + gent;"количество примеров для колонки ""для + gent""";для + nomn;"количество примеров для колонки ""для + nomn""";к + datv;"количество примеров для колонки ""к + datv""";относительно + gent;"количество примеров для колонки ""относительно + gent""";о + accs;"количество примеров для колонки ""о + accs""";о + nomn;"количество примеров для колонки ""о + nomn""";на + accs;"количество примеров для колонки ""на + accs""";в + accs;"количество примеров для колонки ""в + accs""";с + gent;"количество примеров для колонки ""с + gent""";на + gent;"количество примеров для колонки ""на + gent""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";о + gent;"количество примеров для колонки ""о + gent""";в + nomn;"количество примеров для колонки ""в + nomn""";о + voct;"количество примеров для колонки ""о + voct""";внутри + datv;"количество примеров для колонки ""внутри + datv""";на + datv;"количество примеров для колонки ""на + datv""";вне + datv;"количество примеров для колонки ""вне + datv""";при + loct;"количество примеров для колонки ""при + loct""";между + ablt;"количество примеров для колонки ""между + ablt""";из + ablt;"количество примеров для колонки ""из + ablt""";о + ablt;"количество примеров для колонки ""о + ablt""";для + accs;"количество примеров для колонки ""для + accs"""
отрезка;2;прямая;1;плоскость;1;отрезка;1;курс;1;построение;1;вычисление;1;циркуль;1;угол;1;точка;8;основание;1;точка;1;сфера;1;свойство;1;тема;1;прямая;1;плоскость;1;угол;1;определённость;1;е;1;эллипс;1;плоскость;1;прямая;1;многогранник;1;прямая;1;сила;1;многогранник;1;плоскость;1;колодец;1;радиус;1;конус;1;ось;1;окружность;1;практика;1;окружность;1;условие;1;прямая;1;перемещение;1;свойство;1;линия;1
треугольник;2;;;;;;;;;;;;;линейка;1;;;призма;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;площадь;2;;;;;;;;;;;;;;;;;;;;;;
вопрос;2;;;;;;;;;;;;;угол;5;;;пирамида;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;компланарность;1;;;;;;;;;;;;;;;;;;;;;;
диагональ;1;;;;;;;;;;;;;буква;1;;;угол;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
перпендикуляр;1;;;;;;;;;;;;;высота;5;;;проекция;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
плата;1;;;;;;;;;;;;;проведение;2;;;прямая;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
прямая;5;;;;;;;;;;;;;плоскость;13;;;таблица;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
вид;2;;;;;;;;;;;;;площадь;1;;;задача;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
куб;2;;;;;;;;;;;;;коэффициент;2;;;сфера;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
параллелепипед;2;;;;;;;;;;;;;точка;2;;;цилиндр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
