подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";через + nomn;"количество примеров для колонки ""через + nomn""";из + nomn;"количество примеров для колонки ""из + nomn""";с + ablt;"количество примеров для колонки ""с + ablt""";на + nomn;"количество примеров для колонки ""на + nomn""";между + ablt;"количество примеров для колонки ""между + ablt""";на + gent;"количество примеров для колонки ""на + gent""";в + gent;"количество примеров для колонки ""в + gent""";в + loct;"количество примеров для колонки ""в + loct""";с + gent;"количество примеров для колонки ""с + gent""";по + datv;"количество примеров для колонки ""по + datv""";из + gent;"количество примеров для колонки ""из + gent""";в + datv;"количество примеров для колонки ""в + datv""";под + ablt;"количество примеров для колонки ""под + ablt""";при + loct;"количество примеров для колонки ""при + loct""";у + nomn;"количество примеров для колонки ""у + nomn""";к + gent;"количество примеров для колонки ""к + gent""";к + datv;"количество примеров для колонки ""к + datv""";на + loct;"количество примеров для колонки ""на + loct""";о + gent;"количество примеров для колонки ""о + gent""";от + gent;"количество примеров для колонки ""от + gent""";согласно + datv;"количество примеров для колонки ""согласно + datv""";в + nomn;"количество примеров для колонки ""в + nomn""";для + gent;"количество примеров для колонки ""для + gent""";до + gent;"количество примеров для колонки ""до + gent""";через + gent;"количество примеров для колонки ""через + gent"""
перпендикуляр;3;прямая;1;плоскость;1;помощь;1;плоскость;1;прямая;1;прямая;1;плоскость;1;качество;1;прямая;1;мера;1;прямая;1;пирамида;1;угол;1;вершина;1;ребро;1;плоскость;1;признак;1;дело;1;прямая;1;выбор;1;признак;1;вектор;1;вычисление;1;плоскость;1;середина;1
прямая;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
длина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
пара;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сторона;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
диагональ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
расстояние;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
признак;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
точка;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
конец;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
отрезка;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
треугольник;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
плоскость;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
